Energy Usage Information
"For location: CA RED FEATHER CT APPLE VALLEY 92307"

Meter Reading Information
"Type of readings: Electricity"

Summary of Electric Power Usage Information*
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. "

Detailed Usage
"Start date: 2021-10-21 23:00:00  for 15 days"

"Data for period starting: 2021-10-22 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-25 14:15:00 to 2021-10-25 14:30:00","0.960",""
"2021-10-25 14:30:00 to 2021-10-25 14:45:00","0.750",""
"2021-10-25 14:45:00 to 2021-10-25 15:00:00","1.020",""
"2021-10-25 15:00:00 to 2021-10-25 15:15:00","0.450",""
"2021-10-25 15:15:00 to 2021-10-25 15:30:00","0.170",""
"2021-10-25 15:30:00 to 2021-10-25 15:45:00","0.010",""
"2021-10-25 15:45:00 to 2021-10-25 16:00:00","0.000",""
"2021-10-25 16:00:00 to 2021-10-25 16:15:00","0.000",""
"2021-10-25 16:15:00 to 2021-10-25 16:30:00","0.000",""
"2021-10-25 16:30:00 to 2021-10-25 16:45:00","0.000",""
"2021-10-25 16:45:00 to 2021-10-25 17:00:00","0.000",""
"2021-10-25 17:00:00 to 2021-10-25 17:15:00","0.000",""
"2021-10-25 17:15:00 to 2021-10-25 17:30:00","0.000",""
"2021-10-25 17:30:00 to 2021-10-25 17:45:00","0.000",""
"2021-10-25 17:45:00 to 2021-10-25 18:00:00","0.000",""
"2021-10-25 18:00:00 to 2021-10-25 18:15:00","0.000",""
"2021-10-25 18:15:00 to 2021-10-25 18:30:00","0.000",""
"2021-10-25 18:30:00 to 2021-10-25 18:45:00","0.000",""
"2021-10-25 18:45:00 to 2021-10-25 19:00:00","0.000",""
"2021-10-25 19:00:00 to 2021-10-25 19:15:00","0.000",""
"2021-10-25 19:15:00 to 2021-10-25 19:30:00","0.000",""
"2021-10-25 19:30:00 to 2021-10-25 19:45:00","0.000",""
"2021-10-25 19:45:00 to 2021-10-25 20:00:00","0.000",""
"2021-10-25 20:00:00 to 2021-10-25 20:15:00","0.000",""
"2021-10-25 20:15:00 to 2021-10-25 20:30:00","0.000",""
"2021-10-25 20:30:00 to 2021-10-25 20:45:00","0.000",""
"2021-10-25 20:45:00 to 2021-10-25 21:00:00","0.000",""
"2021-10-25 21:00:00 to 2021-10-25 21:15:00","0.000",""
"2021-10-25 21:15:00 to 2021-10-25 21:30:00","0.000",""
"2021-10-25 21:30:00 to 2021-10-25 21:45:00","0.000",""
"2021-10-25 21:45:00 to 2021-10-25 22:00:00","0.000",""
"2021-10-25 22:00:00 to 2021-10-25 22:15:00","0.000",""
"2021-10-25 22:15:00 to 2021-10-25 22:30:00","0.000",""
"2021-10-25 22:30:00 to 2021-10-25 22:45:00","0.000",""
"2021-10-25 22:45:00 to 2021-10-25 23:00:00","0.000",""
"2021-10-25 23:00:00 to 2021-10-25 23:15:00","0.000",""
"2021-10-25 23:15:00 to 2021-10-25 23:30:00","0.000",""
"2021-10-25 23:30:00 to 2021-10-25 23:45:00","0.000",""
"2021-10-25 23:45:00 to 2021-10-26 00:00:00","0.000",""

"Data for period starting: 2021-10-26 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-26 00:00:00 to 2021-10-26 00:15:00","0.150",""
"2021-10-26 00:15:00 to 2021-10-26 00:30:00","0.160",""
"2021-10-26 00:30:00 to 2021-10-26 00:45:00","0.160",""
"2021-10-26 00:45:00 to 2021-10-26 01:00:00","0.150",""
"2021-10-26 01:00:00 to 2021-10-26 01:15:00","0.140",""
"2021-10-26 01:15:00 to 2021-10-26 01:30:00","0.120",""
"2021-10-26 01:30:00 to 2021-10-26 01:45:00","0.120",""
"2021-10-26 01:45:00 to 2021-10-26 02:00:00","0.130",""
"2021-10-26 02:00:00 to 2021-10-26 02:15:00","0.130",""
"2021-10-26 02:15:00 to 2021-10-26 02:30:00","0.130",""
"2021-10-26 02:30:00 to 2021-10-26 02:45:00","0.130",""
"2021-10-26 02:45:00 to 2021-10-26 03:00:00","0.190",""
"2021-10-26 03:00:00 to 2021-10-26 03:15:00","0.150",""
"2021-10-26 03:15:00 to 2021-10-26 03:30:00","0.120",""
"2021-10-26 03:30:00 to 2021-10-26 03:45:00","0.140",""
"2021-10-26 03:45:00 to 2021-10-26 04:00:00","0.130",""
"2021-10-26 04:00:00 to 2021-10-26 04:15:00","0.140",""
"2021-10-26 04:15:00 to 2021-10-26 04:30:00","0.140",""
"2021-10-26 04:30:00 to 2021-10-26 04:45:00","0.130",""
"2021-10-26 04:45:00 to 2021-10-26 05:00:00","0.120",""
"2021-10-26 05:00:00 to 2021-10-26 05:15:00","0.100",""
"2021-10-26 05:15:00 to 2021-10-26 05:30:00","0.130",""
"2021-10-26 05:30:00 to 2021-10-26 05:45:00","0.240",""
"2021-10-26 05:45:00 to 2021-10-26 06:00:00","0.240",""
"2021-10-26 06:00:00 to 2021-10-26 06:15:00","0.250",""
"2021-10-26 06:15:00 to 2021-10-26 06:30:00","0.230",""
"2021-10-26 06:30:00 to 2021-10-26 06:45:00","0.220",""
"2021-10-26 06:45:00 to 2021-10-26 07:00:00","0.310",""
"2021-10-26 07:00:00 to 2021-10-26 07:15:00","0.270",""
"2021-10-26 07:15:00 to 2021-10-26 07:30:00","0.330",""
"2021-10-26 07:30:00 to 2021-10-26 07:45:00","0.290",""
"2021-10-26 07:45:00 to 2021-10-26 08:00:00","0.230",""
"2021-10-26 08:00:00 to 2021-10-26 08:15:00","0.220",""
"2021-10-26 08:15:00 to 2021-10-26 08:30:00","0.220",""
"2021-10-26 08:30:00 to 2021-10-26 08:45:00","0.190",""
"2021-10-26 08:45:00 to 2021-10-26 09:00:00","0.190",""
"2021-10-26 09:00:00 to 2021-10-26 09:15:00","0.140",""
"2021-10-26 09:15:00 to 2021-10-26 09:30:00","0.120",""
"2021-10-26 09:30:00 to 2021-10-26 09:45:00","0.090",""
"2021-10-26 09:45:00 to 2021-10-26 10:00:00","0.020",""
"2021-10-26 10:00:00 to 2021-10-26 10:15:00","0.000",""
"2021-10-26 10:15:00 to 2021-10-26 10:30:00","0.000",""
"2021-10-26 10:30:00 to 2021-10-26 10:45:00","0.000",""
"2021-10-26 10:45:00 to 2021-10-26 11:00:00","0.000",""
"2021-10-26 11:00:00 to 2021-10-26 11:15:00","0.000",""
"2021-10-26 11:15:00 to 2021-10-26 11:30:00","0.000",""
"2021-10-26 11:30:00 to 2021-10-26 11:45:00","0.000",""
"2021-10-26 11:45:00 to 2021-10-26 12:00:00","0.000",""
"2021-10-26 12:00:00 to 2021-10-26 12:15:00","0.000",""
"2021-10-26 12:15:00 to 2021-10-26 12:30:00","0.000",""
"2021-10-26 12:30:00 to 2021-10-26 12:45:00","0.000",""
"2021-10-26 12:45:00 to 2021-10-26 13:00:00","0.000",""
"2021-10-26 13:00:00 to 2021-10-26 13:15:00","0.000",""
"2021-10-26 13:15:00 to 2021-10-26 13:30:00","0.000",""
"2021-10-26 13:30:00 to 2021-10-26 13:45:00","0.000",""
"2021-10-26 13:45:00 to 2021-10-26 14:00:00","0.000",""
"2021-10-26 14:00:00 to 2021-10-26 14:15:00","0.000",""
"2021-10-26 14:15:00 to 2021-10-26 14:30:00","0.000",""
"2021-10-26 14:30:00 to 2021-10-26 14:45:00","0.000",""
"2021-10-26 14:45:00 to 2021-10-26 15:00:00","0.000",""
"2021-10-26 15:00:00 to 2021-10-26 15:15:00","0.000",""
"2021-10-26 15:15:00 to 2021-10-26 15:30:00","0.000",""
"2021-10-26 15:30:00 to 2021-10-26 15:45:00","0.000",""
"2021-10-26 15:45:00 to 2021-10-26 16:00:00","0.000",""
"2021-10-26 16:00:00 to 2021-10-26 16:15:00","0.000",""
"2021-10-26 16:15:00 to 2021-10-26 16:30:00","0.000",""
"2021-10-26 16:30:00 to 2021-10-26 16:45:00","0.000",""
"2021-10-26 16:45:00 to 2021-10-26 17:00:00","0.000",""
"2021-10-26 17:00:00 to 2021-10-26 17:15:00","0.000",""
"2021-10-26 17:15:00 to 2021-10-26 17:30:00","0.000",""
"2021-10-26 17:30:00 to 2021-10-26 17:45:00","0.000",""
"2021-10-26 17:45:00 to 2021-10-26 18:00:00","0.070",""
"2021-10-26 18:00:00 to 2021-10-26 18:15:00","0.120",""
"2021-10-26 18:15:00 to 2021-10-26 18:30:00","0.090",""
"2021-10-26 18:30:00 to 2021-10-26 18:45:00","0.080",""
"2021-10-26 18:45:00 to 2021-10-26 19:00:00","0.100",""
"2021-10-26 19:00:00 to 2021-10-26 19:15:00","0.100",""
"2021-10-26 19:15:00 to 2021-10-26 19:30:00","0.120",""
"2021-10-26 19:30:00 to 2021-10-26 19:45:00","0.100",""
"2021-10-26 19:45:00 to 2021-10-26 20:00:00","0.100",""
"2021-10-26 20:00:00 to 2021-10-26 20:15:00","0.080",""
"2021-10-26 20:15:00 to 2021-10-26 20:30:00","0.090",""
"2021-10-26 20:30:00 to 2021-10-26 20:45:00","0.110",""
"2021-10-26 20:45:00 to 2021-10-26 21:00:00","0.160",""
"2021-10-26 21:00:00 to 2021-10-26 21:15:00","0.150",""
"2021-10-26 21:15:00 to 2021-10-26 21:30:00","0.130",""
"2021-10-26 21:30:00 to 2021-10-26 21:45:00","0.130",""
"2021-10-26 21:45:00 to 2021-10-26 22:00:00","0.160",""
"2021-10-26 22:00:00 to 2021-10-26 22:15:00","0.220",""
"2021-10-26 22:15:00 to 2021-10-26 22:30:00","0.200",""
"2021-10-26 22:30:00 to 2021-10-26 22:45:00","0.200",""
"2021-10-26 22:45:00 to 2021-10-26 23:00:00","0.240",""
"2021-10-26 23:00:00 to 2021-10-26 23:15:00","0.240",""
"2021-10-26 23:15:00 to 2021-10-26 23:30:00","0.230",""
"2021-10-26 23:30:00 to 2021-10-26 23:45:00","0.220",""
"2021-10-26 23:45:00 to 2021-10-27 00:00:00","0.200",""

"Data for period starting: 2021-10-26 00:00:00  for 24 hours"
Energy  Received time period,Usage Received(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-26 00:00:00 to 2021-10-26 00:15:00","0.000",""
"2021-10-26 00:15:00 to 2021-10-26 00:30:00","0.000",""
"2021-10-26 00:30:00 to 2021-10-26 00:45:00","0.000",""
"2021-10-26 00:45:00 to 2021-10-26 01:00:00","0.000",""
"2021-10-26 01:00:00 to 2021-10-26 01:15:00","0.000",""
"2021-10-26 01:15:00 to 2021-10-26 01:30:00","0.000",""
"2021-10-26 01:30:00 to 2021-10-26 01:45:00","0.000",""
"2021-10-26 01:45:00 to 2021-10-26 02:00:00","0.000",""
"2021-10-26 02:00:00 to 2021-10-26 02:15:00","0.000",""
"2021-10-26 02:15:00 to 2021-10-26 02:30:00","0.000",""
"2021-10-26 02:30:00 to 2021-10-26 02:45:00","0.000",""
"2021-10-26 02:45:00 to 2021-10-26 03:00:00","0.000",""
"2021-10-26 03:00:00 to 2021-10-26 03:15:00","0.000",""
"2021-10-26 03:15:00 to 2021-10-26 03:30:00","0.000",""
"2021-10-26 03:30:00 to 2021-10-26 03:45:00","0.000",""
"2021-10-26 03:45:00 to 2021-10-26 04:00:00","0.000",""
"2021-10-26 04:00:00 to 2021-10-26 04:15:00","0.000",""
"2021-10-26 04:15:00 to 2021-10-26 04:30:00","0.000",""
"2021-10-26 04:30:00 to 2021-10-26 04:45:00","0.000",""
"2021-10-26 04:45:00 to 2021-10-26 05:00:00","0.000",""
"2021-10-26 05:00:00 to 2021-10-26 05:15:00","0.000",""
"2021-10-26 05:15:00 to 2021-10-26 05:30:00","0.000",""
"2021-10-26 05:30:00 to 2021-10-26 05:45:00","0.000",""
"2021-10-26 05:45:00 to 2021-10-26 06:00:00","0.000",""
"2021-10-26 06:00:00 to 2021-10-26 06:15:00","0.000",""
"2021-10-26 06:15:00 to 2021-10-26 06:30:00","0.000",""
"2021-10-26 06:30:00 to 2021-10-26 06:45:00","0.000",""
"2021-10-26 06:45:00 to 2021-10-26 07:00:00","0.000",""
"2021-10-26 07:00:00 to 2021-10-26 07:15:00","0.000",""
"2021-10-26 07:15:00 to 2021-10-26 07:30:00","0.000",""
"2021-10-26 07:30:00 to 2021-10-26 07:45:00","0.000",""
"2021-10-26 07:45:00 to 2021-10-26 08:00:00","0.000",""
"2021-10-26 08:00:00 to 2021-10-26 08:15:00","0.000",""
"2021-10-26 08:15:00 to 2021-10-26 08:30:00","0.000",""
"2021-10-26 08:30:00 to 2021-10-26 08:45:00","0.000",""
"2021-10-26 08:45:00 to 2021-10-26 09:00:00","0.000",""
"2021-10-26 09:00:00 to 2021-10-26 09:15:00","0.000",""
"2021-10-26 09:15:00 to 2021-10-26 09:30:00","0.000",""
"2021-10-26 09:30:00 to 2021-10-26 09:45:00","0.000",""
"2021-10-26 09:45:00 to 2021-10-26 10:00:00","0.000",""
"2021-10-26 10:00:00 to 2021-10-26 10:15:00","0.100",""
"2021-10-26 10:15:00 to 2021-10-26 10:30:00","0.220",""
"2021-10-26 10:30:00 to 2021-10-26 10:45:00","0.280",""
"2021-10-26 10:45:00 to 2021-10-26 11:00:00","0.410",""
"2021-10-26 11:00:00 to 2021-10-26 11:15:00","0.550",""
"2021-10-26 11:15:00 to 2021-10-26 11:30:00","0.700",""
"2021-10-26 11:30:00 to 2021-10-26 11:45:00","0.820",""
"2021-10-26 11:45:00 to 2021-10-26 12:00:00","0.950",""
"2021-10-26 12:00:00 to 2021-10-26 12:15:00","1.040",""
"2021-10-26 12:15:00 to 2021-10-26 12:30:00","1.110",""
"2021-10-26 12:30:00 to 2021-10-26 12:45:00","1.170",""
"2021-10-26 12:45:00 to 2021-10-26 13:00:00","1.210",""
"2021-10-26 13:00:00 to 2021-10-26 13:15:00","1.230",""
"2021-10-26 13:15:00 to 2021-10-26 13:30:00","1.270",""
"2021-10-26 13:30:00 to 2021-10-26 13:45:00","1.430",""
"2021-10-26 13:45:00 to 2021-10-26 14:00:00","1.430",""
"2021-10-26 14:00:00 to 2021-10-26 14:15:00","1.440",""
"2021-10-26 14:15:00 to 2021-10-26 14:30:00","1.450",""
"2021-10-26 14:30:00 to 2021-10-26 14:45:00","1.440",""
"2021-10-26 14:45:00 to 2021-10-26 15:00:00","1.390",""
"2021-10-26 15:00:00 to 2021-10-26 15:15:00","1.380",""
"2021-10-26 15:15:00 to 2021-10-26 15:30:00","1.340",""
"2021-10-26 15:30:00 to 2021-10-26 15:45:00","1.300",""
"2021-10-26 15:45:00 to 2021-10-26 16:00:00","1.220",""
"2021-10-26 16:00:00 to 2021-10-26 16:15:00","1.140",""
"2021-10-26 16:15:00 to 2021-10-26 16:30:00","1.050",""
"2021-10-26 16:30:00 to 2021-10-26 16:45:00","0.960",""
"2021-10-26 16:45:00 to 2021-10-26 17:00:00","0.850",""
"2021-10-26 17:00:00 to 2021-10-26 17:15:00","0.710",""
"2021-10-26 17:15:00 to 2021-10-26 17:30:00","0.540",""
"2021-10-26 17:30:00 to 2021-10-26 17:45:00","0.320",""
"2021-10-26 17:45:00 to 2021-10-26 18:00:00","0.060",""
"2021-10-26 18:00:00 to 2021-10-26 18:15:00","0.000",""
"2021-10-26 18:15:00 to 2021-10-26 18:30:00","0.000",""
"2021-10-26 18:30:00 to 2021-10-26 18:45:00","0.000",""
"2021-10-26 18:45:00 to 2021-10-26 19:00:00","0.000",""
"2021-10-26 19:00:00 to 2021-10-26 19:15:00","0.000",""
"2021-10-26 19:15:00 to 2021-10-26 19:30:00","0.000",""
"2021-10-26 19:30:00 to 2021-10-26 19:45:00","0.000",""
"2021-10-26 19:45:00 to 2021-10-26 20:00:00","0.000",""
"2021-10-26 20:00:00 to 2021-10-26 20:15:00","0.000",""
"2021-10-26 20:15:00 to 2021-10-26 20:30:00","0.000",""
"2021-10-26 20:30:00 to 2021-10-26 20:45:00","0.000",""
"2021-10-26 20:45:00 to 2021-10-26 21:00:00","0.000",""
"2021-10-26 21:00:00 to 2021-10-26 21:15:00","0.000",""
"2021-10-26 21:15:00 to 2021-10-26 21:30:00","0.000",""
"2021-10-26 21:30:00 to 2021-10-26 21:45:00","0.000",""
"2021-10-26 21:45:00 to 2021-10-26 22:00:00","0.000",""
"2021-10-26 22:00:00 to 2021-10-26 22:15:00","0.000",""
"2021-10-26 22:15:00 to 2021-10-26 22:30:00","0.000",""
"2021-10-26 22:30:00 to 2021-10-26 22:45:00","0.000",""
"2021-10-26 22:45:00 to 2021-10-26 23:00:00","0.000",""
"2021-10-26 23:00:00 to 2021-10-26 23:15:00","0.000",""
"2021-10-26 23:15:00 to 2021-10-26 23:30:00","0.000",""
"2021-10-26 23:30:00 to 2021-10-26 23:45:00","0.000",""
"2021-10-26 23:45:00 to 2021-10-27 00:00:00","0.000",""

"Data for period starting: 2021-10-27 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-27 00:00:00 to 2021-10-27 00:15:00","0.140",""
"2021-10-27 00:15:00 to 2021-10-27 00:30:00","0.160",""
"2021-10-27 00:30:00 to 2021-10-27 00:45:00","0.160",""
"2021-10-27 00:45:00 to 2021-10-27 01:00:00","0.150",""
"2021-10-27 01:00:00 to 2021-10-27 01:15:00","0.150",""
"2021-10-27 01:15:00 to 2021-10-27 01:30:00","0.130",""
"2021-10-27 01:30:00 to 2021-10-27 01:45:00","0.120",""
"2021-10-27 01:45:00 to 2021-10-27 02:00:00","0.130",""
"2021-10-27 02:00:00 to 2021-10-27 02:15:00","0.150",""
"2021-10-27 02:15:00 to 2021-10-27 02:30:00","0.130",""
"2021-10-27 02:30:00 to 2021-10-27 02:45:00","0.120",""
"2021-10-27 02:45:00 to 2021-10-27 03:00:00","0.110",""
"2021-10-27 03:00:00 to 2021-10-27 03:15:00","0.100",""
"2021-10-27 03:15:00 to 2021-10-27 03:30:00","0.110",""
"2021-10-27 03:30:00 to 2021-10-27 03:45:00","0.120",""
"2021-10-27 03:45:00 to 2021-10-27 04:00:00","0.130",""
"2021-10-27 04:00:00 to 2021-10-27 04:15:00","0.120",""
"2021-10-27 04:15:00 to 2021-10-27 04:30:00","0.110",""
"2021-10-27 04:30:00 to 2021-10-27 04:45:00","0.100",""
"2021-10-27 04:45:00 to 2021-10-27 05:00:00","0.100",""
"2021-10-27 05:00:00 to 2021-10-27 05:15:00","0.130",""
"2021-10-27 05:15:00 to 2021-10-27 05:30:00","0.130",""
"2021-10-27 05:30:00 to 2021-10-27 05:45:00","0.230",""
"2021-10-27 05:45:00 to 2021-10-27 06:00:00","0.210",""
"2021-10-27 06:00:00 to 2021-10-27 06:15:00","0.220",""
"2021-10-27 06:15:00 to 2021-10-27 06:30:00","0.230",""
"2021-10-27 06:30:00 to 2021-10-27 06:45:00","0.230",""
"2021-10-27 06:45:00 to 2021-10-27 07:00:00","0.240",""
"2021-10-27 07:00:00 to 2021-10-27 07:15:00","0.320",""
"2021-10-27 07:15:00 to 2021-10-27 07:30:00","0.430",""
"2021-10-27 07:30:00 to 2021-10-27 07:45:00","0.320",""
"2021-10-27 07:45:00 to 2021-10-27 08:00:00","0.290",""
"2021-10-27 08:00:00 to 2021-10-27 08:15:00","0.240",""
"2021-10-27 08:15:00 to 2021-10-27 08:30:00","0.240",""
"2021-10-27 08:30:00 to 2021-10-27 08:45:00","0.180",""
"2021-10-27 08:45:00 to 2021-10-27 09:00:00","0.150",""
"2021-10-27 09:00:00 to 2021-10-27 09:15:00","0.130",""
"2021-10-27 09:15:00 to 2021-10-27 09:30:00","0.170",""
"2021-10-27 09:30:00 to 2021-10-27 09:45:00","0.250",""
"2021-10-27 09:45:00 to 2021-10-27 10:00:00","0.020",""
"2021-10-27 10:00:00 to 2021-10-27 10:15:00","0.000",""
"2021-10-27 10:15:00 to 2021-10-27 10:30:00","0.000",""
"2021-10-27 10:30:00 to 2021-10-27 10:45:00","0.000",""
"2021-10-27 10:45:00 to 2021-10-27 11:00:00","0.000",""
"2021-10-27 11:00:00 to 2021-10-27 11:15:00","0.000",""
"2021-10-27 11:15:00 to 2021-10-27 11:30:00","0.000",""
"2021-10-27 11:30:00 to 2021-10-27 11:45:00","0.000",""
"2021-10-27 11:45:00 to 2021-10-27 12:00:00","0.000",""
"2021-10-27 12:00:00 to 2021-10-27 12:15:00","0.000",""
"2021-10-27 12:15:00 to 2021-10-27 12:30:00","0.000",""
"2021-10-27 12:30:00 to 2021-10-27 12:45:00","0.000",""
"2021-10-27 12:45:00 to 2021-10-27 13:00:00","0.000",""
"2021-10-27 13:00:00 to 2021-10-27 13:15:00","0.000",""
"2021-10-27 13:15:00 to 2021-10-27 13:30:00","0.000",""
"2021-10-27 13:30:00 to 2021-10-27 13:45:00","0.000",""
"2021-10-27 13:45:00 to 2021-10-27 14:00:00","0.000",""
"2021-10-27 14:00:00 to 2021-10-27 14:15:00","0.000",""
"2021-10-27 14:15:00 to 2021-10-27 14:30:00","0.000",""
"2021-10-27 14:30:00 to 2021-10-27 14:45:00","0.000",""
"2021-10-27 14:45:00 to 2021-10-27 15:00:00","0.000",""
"2021-10-27 15:00:00 to 2021-10-27 15:15:00","0.000",""
"2021-10-27 15:15:00 to 2021-10-27 15:30:00","0.000",""
"2021-10-27 15:30:00 to 2021-10-27 15:45:00","0.000",""
"2021-10-27 15:45:00 to 2021-10-27 16:00:00","0.000",""
"2021-10-27 16:00:00 to 2021-10-27 16:15:00","0.000",""
"2021-10-27 16:15:00 to 2021-10-27 16:30:00","0.000",""
"2021-10-27 16:30:00 to 2021-10-27 16:45:00","0.000",""
"2021-10-27 16:45:00 to 2021-10-27 17:00:00","0.000",""
"2021-10-27 17:00:00 to 2021-10-27 17:15:00","0.000",""
"2021-10-27 17:15:00 to 2021-10-27 17:30:00","0.000",""
"2021-10-27 17:30:00 to 2021-10-27 17:45:00","0.000",""
"2021-10-27 17:45:00 to 2021-10-27 18:00:00","0.100",""
"2021-10-27 18:00:00 to 2021-10-27 18:15:00","0.160",""
"2021-10-27 18:15:00 to 2021-10-27 18:30:00","0.140",""
"2021-10-27 18:30:00 to 2021-10-27 18:45:00","0.200",""
"2021-10-27 18:45:00 to 2021-10-27 19:00:00","0.220",""
"2021-10-27 19:00:00 to 2021-10-27 19:15:00","0.200",""
"2021-10-27 19:15:00 to 2021-10-27 19:30:00","0.200",""
"2021-10-27 19:30:00 to 2021-10-27 19:45:00","0.300",""
"2021-10-27 19:45:00 to 2021-10-27 20:00:00","0.180",""
"2021-10-27 20:00:00 to 2021-10-27 20:15:00","0.170",""
"2021-10-27 20:15:00 to 2021-10-27 20:30:00","0.150",""
"2021-10-27 20:30:00 to 2021-10-27 20:45:00","0.160",""
"2021-10-27 20:45:00 to 2021-10-27 21:00:00","0.170",""
"2021-10-27 21:00:00 to 2021-10-27 21:15:00","0.210",""
"2021-10-27 21:15:00 to 2021-10-27 21:30:00","0.220",""
"2021-10-27 21:30:00 to 2021-10-27 21:45:00","0.210",""
"2021-10-27 21:45:00 to 2021-10-27 22:00:00","0.230",""
"2021-10-27 22:00:00 to 2021-10-27 22:15:00","0.240",""
"2021-10-27 22:15:00 to 2021-10-27 22:30:00","0.230",""
"2021-10-27 22:30:00 to 2021-10-27 22:45:00","0.180",""
"2021-10-27 22:45:00 to 2021-10-27 23:00:00","0.280",""
"2021-10-27 23:00:00 to 2021-10-27 23:15:00","0.280",""
"2021-10-27 23:15:00 to 2021-10-27 23:30:00","0.250",""
"2021-10-27 23:30:00 to 2021-10-27 23:45:00","0.200",""
"2021-10-27 23:45:00 to 2021-10-28 00:00:00","0.140",""

"Data for period starting: 2021-10-27 00:00:00  for 24 hours"
Energy  Received time period,Usage Received(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-27 00:00:00 to 2021-10-27 00:15:00","0.000",""
"2021-10-27 00:15:00 to 2021-10-27 00:30:00","0.000",""
"2021-10-27 00:30:00 to 2021-10-27 00:45:00","0.000",""
"2021-10-27 00:45:00 to 2021-10-27 01:00:00","0.000",""
"2021-10-27 01:00:00 to 2021-10-27 01:15:00","0.000",""
"2021-10-27 01:15:00 to 2021-10-27 01:30:00","0.000",""
"2021-10-27 01:30:00 to 2021-10-27 01:45:00","0.000",""
"2021-10-27 01:45:00 to 2021-10-27 02:00:00","0.000",""
"2021-10-27 02:00:00 to 2021-10-27 02:15:00","0.000",""
"2021-10-27 02:15:00 to 2021-10-27 02:30:00","0.000",""
"2021-10-27 02:30:00 to 2021-10-27 02:45:00","0.000",""
"2021-10-27 02:45:00 to 2021-10-27 03:00:00","0.000",""
"2021-10-27 03:00:00 to 2021-10-27 03:15:00","0.000",""
"2021-10-27 03:15:00 to 2021-10-27 03:30:00","0.000",""
"2021-10-27 03:30:00 to 2021-10-27 03:45:00","0.000",""
"2021-10-27 03:45:00 to 2021-10-27 04:00:00","0.000",""
"2021-10-27 04:00:00 to 2021-10-27 04:15:00","0.000",""
"2021-10-27 04:15:00 to 2021-10-27 04:30:00","0.000",""
"2021-10-27 04:30:00 to 2021-10-27 04:45:00","0.000",""
"2021-10-27 04:45:00 to 2021-10-27 05:00:00","0.000",""
"2021-10-27 05:00:00 to 2021-10-27 05:15:00","0.000",""
"2021-10-27 05:15:00 to 2021-10-27 05:30:00","0.000",""
"2021-10-27 05:30:00 to 2021-10-27 05:45:00","0.000",""
"2021-10-27 05:45:00 to 2021-10-27 06:00:00","0.000",""
"2021-10-27 06:00:00 to 2021-10-27 06:15:00","0.000",""
"2021-10-27 06:15:00 to 2021-10-27 06:30:00","0.000",""
"2021-10-27 06:30:00 to 2021-10-27 06:45:00","0.000",""
"2021-10-27 06:45:00 to 2021-10-27 07:00:00","0.000",""
"2021-10-27 07:00:00 to 2021-10-27 07:15:00","0.000",""
"2021-10-27 07:15:00 to 2021-10-27 07:30:00","0.000",""
"2021-10-27 07:30:00 to 2021-10-27 07:45:00","0.000",""
"2021-10-27 07:45:00 to 2021-10-27 08:00:00","0.000",""
"2021-10-27 08:00:00 to 2021-10-27 08:15:00","0.000",""
"2021-10-27 08:15:00 to 2021-10-27 08:30:00","0.000",""
"2021-10-27 08:30:00 to 2021-10-27 08:45:00","0.000",""
"2021-10-27 08:45:00 to 2021-10-27 09:00:00","0.000",""
"2021-10-27 09:00:00 to 2021-10-27 09:15:00","0.000",""
"2021-10-27 09:15:00 to 2021-10-27 09:30:00","0.000",""
"2021-10-27 09:30:00 to 2021-10-27 09:45:00","0.000",""
"2021-10-27 09:45:00 to 2021-10-27 10:00:00","0.000",""
"2021-10-27 10:00:00 to 2021-10-27 10:15:00","0.100",""
"2021-10-27 10:15:00 to 2021-10-27 10:30:00","0.230",""
"2021-10-27 10:30:00 to 2021-10-27 10:45:00","0.340",""
"2021-10-27 10:45:00 to 2021-10-27 11:00:00","0.430",""
"2021-10-27 11:00:00 to 2021-10-27 11:15:00","0.520",""
"2021-10-27 11:15:00 to 2021-10-27 11:30:00","0.650",""
"2021-10-27 11:30:00 to 2021-10-27 11:45:00","0.780",""
"2021-10-27 11:45:00 to 2021-10-27 12:00:00","0.900",""
"2021-10-27 12:00:00 to 2021-10-27 12:15:00","0.950",""
"2021-10-27 12:15:00 to 2021-10-27 12:30:00","1.040",""
"2021-10-27 12:30:00 to 2021-10-27 12:45:00","1.100",""
"2021-10-27 12:45:00 to 2021-10-27 13:00:00","1.140",""
"2021-10-27 13:00:00 to 2021-10-27 13:15:00","1.200",""
"2021-10-27 13:15:00 to 2021-10-27 13:30:00","1.240",""
"2021-10-27 13:30:00 to 2021-10-27 13:45:00","1.360",""
